ID_LEAD;score;prob_conversao;segmentacao
5811411;0.012662315;0.0028657147049909047;Muito Baixo
5811412;0.0022999868;-0.011981436427173295;Muito Baixo
5811413;0.0009466896;-0.011981436427173295;Muito Baixo
5811414;0.014118611;0.0028657147049909047;Muito Baixo
5811415;0.0023672634;-0.011981436427173295;Muito Baixo
5811416;0.00058171095;-0.011981436427173295;Muito Baixo
5811417;0.01446657;0.0028657147049909047;Muito Baixo
5811418;0.00087314926;-0.011981436427173295;Muito Baixo
5811419;0.0009466896;-0.011981436427173295;Muito Baixo
5811420;0.61222136;0.16839410826691026;Alto
5811421;0.0153811565;0.015015925278881797;Muito Baixo
5811422;0.0006855338;-0.011981436427173295;Muito Baixo
5811423;0.0022999868;-0.011981436427173295;Muito Baixo
5811424;0.01446657;0.0028657147049909047;Muito Baixo
