ID_LEAD;score;prob_conversao;segmentacao
6184343;0.0027719394;-0.011981436427173295;Muito Baixo
6184326;0.0001449265;-0.011981436427173295;Muito Baixo
6184322;0.004363625;-0.011981436427173295;Muito Baixo
6184323;0.0038914795;-0.011981436427173295;Muito Baixo
6184334;0.0063424786;0.0028657147049909047;Muito Baixo
6184337;0.006403133;0.0028657147049909047;Muito Baixo
6184318;0.0022999868;-0.011981436427173295;Muito Baixo
6184319;0.0022999868;-0.011981436427173295;Muito Baixo
6184320;0.0038914795;-0.011981436427173295;Muito Baixo
6184321;0.004363625;-0.011981436427173295;Muito Baixo
6184324;0.00017180975;-0.011981436427173295;Muito Baixo
6184325;0.0001449265;-0.011981436427173295;Muito Baixo
6184327;0.0021569508;-0.011981436427173295;Muito Baixo
6184328;0.0006981735;-0.011981436427173295;Muito Baixo
6184329;0.033989944;0.024830489137683563;Muito Baixo
6184330;0.0063424786;0.0028657147049909047;Muito Baixo
6184331;0.0036587322;-0.011981436427173295;Muito Baixo
6184332;0.004863915;-0.011981436427173295;Muito Baixo
6184333;0.0009466896;-0.011981436427173295;Muito Baixo
6184335;0.011028986;0.0028657147049909047;Muito Baixo
6184336;0.006403133;0.0028657147049909047;Muito Baixo
6184338;0.004196449;-0.011981436427173295;Muito Baixo
6184339;0.0022862942;-0.011981436427173295;Muito Baixo
6184340;0.6449765;0.1779521028773811;Alto
6184341;0.0009466896;-0.011981436427173295;Muito Baixo
6184342;0.0027719394;-0.011981436427173295;Muito Baixo
6184344;0.0002581469;-0.011981436427173295;Muito Baixo
