ID_LEAD,score,prob_conversao,segmentacao
5709431,0.76116353,0.2367289582805565,Alto
5709427,0.17061532,0.09202425745812468,Muito Baixo
5709305,0.011760261999999999,0.03479698722802185,Muito Baixo
5709301,0.011760261999999999,0.03479698722802185,Muito Baixo
5709302,0.011760261999999999,0.03479698722802185,Muito Baixo
5709339,0.01510148,0.04904442476190258,Muito Baixo
5709303,0.011760261999999999,0.03479698722802185,Muito Baixo
5709395,0.10480498,0.09573673266475173,Muito Baixo
5709439,0.05427616,0.07815558855921492,Muito Baixo
5709452,0.0034568252000000002,0.017793354216891658,Muito Baixo
5709267,0.09417192,0.09435508262179064,Muito Baixo
5709268,0.09417192,0.09435508262179064,Muito Baixo
5709269,0.031834642999999996,0.06083665759139489,Muito Baixo
5709270,0.04563328,0.07815558855921492,Muito Baixo
5709271,0.09417192,0.09435508262179064,Muito Baixo
5709272,0.09417192,0.09435508262179064,Muito Baixo
5709273,0.09417192,0.09435508262179064,Muito Baixo
5709274,0.015813768,0.04904442476190258,Muito Baixo
5709275,0.09417192,0.09435508262179064,Muito Baixo
5709276,0.07321099,0.08875829282651672,Muito Baixo
5709277,0.04515816,0.07815558855921492,Muito Baixo
5709278,0.030985212,0.06083665759139489,Muito Baixo
5709279,0.09417192,0.09435508262179064,Muito Baixo
5709280,0.0025260036,0.017793354216891658,Muito Baixo
5709281,0.09417192,0.09435508262179064,Muito Baixo
5709282,0.6537228,0.1947212267581354,Alto
5709283,0.0009420962,0.017793354216891658,Muito Baixo
5709284,0.016296216999999998,0.04904442476190258,Muito Baixo
5709285,0.09417192,0.09435508262179064,Muito Baixo
5709286,0.09417192,0.09435508262179064,Muito Baixo
5709287,0.09417192,0.09435508262179064,Muito Baixo
5709288,0.09417192,0.09435508262179064,Muito Baixo
5709289,0.025788505,0.06083665759139489,Muito Baixo
5709290,0.15565549,0.0932156674594192,Muito Baixo
5709291,0.15565549,0.0932156674594192,Muito Baixo
5709292,0.1896655,0.08971663587719472,Muito Baixo
5709293,0.15565549,0.0932156674594192,Muito Baixo
5709294,0.08153557,0.09208630364320423,Muito Baixo
5709295,0.09417192,0.09435508262179064,Muito Baixo
5709296,0.1786851,0.09083747344955112,Muito Baixo
5709297,0.07893778,0.09208630364320423,Muito Baixo
5709298,0.0010317597,0.017793354216891658,Muito Baixo
5709299,0.7564316999999999,0.2367289582805565,Alto
5709300,0.011760261999999999,0.03479698722802185,Muito Baixo
5709304,0.02162157,0.04904442476190258,Muito Baixo
5709306,0.022391398,0.04904442476190258,Muito Baixo
5709307,0.09417192,0.09435508262179064,Muito Baixo
5709308,0.09417192,0.09435508262179064,Muito Baixo
5709309,0.059722718,0.0841829903129124,Muito Baixo
5709310,0.09417192,0.09435508262179064,Muito Baixo
5709311,0.09417192,0.09435508262179064,Muito Baixo
5709312,0.104687735,0.09573673266475173,Muito Baixo
5709313,0.09417192,0.09435508262179064,Muito Baixo
5709314,0.09417192,0.09435508262179064,Muito Baixo
5709315,0.08153557,0.09208630364320423,Muito Baixo
5709316,0.008841181,0.03479698722802185,Muito Baixo
5709317,0.013104536000000002,0.03479698722802185,Muito Baixo
5709318,0.09417192,0.09435508262179064,Muito Baixo
5709319,0.09417192,0.09435508262179064,Muito Baixo
5709320,0.09417192,0.09435508262179064,Muito Baixo
5709321,0.09417192,0.09435508262179064,Muito Baixo
5709322,0.07893778,0.09208630364320423,Muito Baixo
5709323,0.09417192,0.09435508262179064,Muito Baixo
5709324,0.09417192,0.09435508262179064,Muito Baixo
5709325,0.09417192,0.09435508262179064,Muito Baixo
5709326,0.0048440946,0.017793354216891658,Muito Baixo
5709327,0.15565549,0.0932156674594192,Muito Baixo
5709328,0.08153557,0.09208630364320423,Muito Baixo
5709329,0.1618981,0.0932156674594192,Muito Baixo
5709330,0.07893778,0.09208630364320423,Muito Baixo
5709331,0.09417192,0.09435508262179064,Muito Baixo
5709332,0.1618981,0.0932156674594192,Muito Baixo
5709333,0.07893778,0.09208630364320423,Muito Baixo
